Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Indianapolis Indians,Triple-A,Home Games,30,26,5,9,1,0,3,8,4,7,1,0,0,.346,.433,.731,1.164
Indianapolis Indians,Triple-A,Away Games,27,23,5,9,0,1,2,3,3,4,2,2,0,.391,.462,.739,1.201
Indianapolis Indians,Triple-A,Day Games,18,14,2,4,0,0,1,6,4,3,1,0,0,.286,.444,.500,.944
Indianapolis Indians,Triple-A,Night Games,39,35,8,14,1,1,4,5,3,8,2,2,0,.400,.447,.829,1.276
Indianapolis Indians,Triple-A,Leading Off,7,7,,2,0,1,0,0,0,1,,,0,.286,.286,.571,.857
Indianapolis Indians,Triple-A,Late / Close,7,7,,3,0,1,0,0,0,2,,,0,.429,.429,.714,1.143
