Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2015,OAK,AL,112,40,56,0,1,.261,12,0,20,489,4.366,.277,.027,.290,.186,0,0
2016,OAK,AL,133,29,47,0,0,.218,4,2,12,555,4.173,.180,.015,.833,.071,1,0
2018,LAD,NL,481,230,160,0,2,.299,54,4,48,2066,4.295,.272,.073,.603,.319,2,0
2019,LAD,NL,589,251,215,0,4,.283,58,5,67,2581,4.382,.253,.059,.604,.265,7,2
2020,LAD,NL,248,79,86,0,2,.203,16,3,26,1100,4.435,.242,.048,.650,.197,0,0
2021,LAD,NL,592,262,210,0,1,.257,64,7,78,2434,4.111,.203,.061,.692,.278,3,1
2022,LAD,NL,565,178,213,0,6,.227,44,2,58,2436,4.312,.250,.037,.638,.188,3,0
7 Seasons,2 Teams,,2720,1069,987,0,16,.256,252,23,309,11661,4.287,.241,.053,.625,.242,16,3
