,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,664,524,93,127,27,62,6,.242,.401,.452,.853
5 Seasons,2667,2136,430,612,125,374,38,.287,.424,.526,.950
