Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2018,,23.1,22,18.7,3,11,14,8,36.4
2019,,24.6,39,38.7,0,17,27,18,46.2
2020,,26.0,13,12.8,0,6,6,8,61.5
2021,,26.9,29,29.0,0,3,23,13,44.8
2022,,27.7,29,29.1,0,12,24,12,41.4
Player,,25.7,132,128.2,4,49,94,59,44.7
