Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2018,WSH,NL,LF,114,112,987.0,213,207,4,2,2,,.991
2019,WSH,NL,LF,150,150,1327.1,275,273,0,2,0,,.993
2020,WSH,NL,LF,36,36,289.1,57,56,1,0,0,,1.000
2020,WSH,NL,RF,6,6,43.0,8,8,0,0,0,,1.000
2020,WSH,NL,DH,5,5,0.0,0,0,0,0,0,,.000
2021,WSH,NL,RF,144,144,1226.0,306,295,5,6,1,,.980
2021,WSH,NL,DH,2,2,0.0,0,0,0,0,0,,.000
2022,WSH,NL,RF,99,99,857.0,196,192,2,2,0,,.990
2022,WSH,NL,DH,1,1,0.0,0,0,0,0,0,,.000
2022,SD,NL,RF,52,52,441.1,114,112,1,1,0,,.991
2022,2 Teams,,RF,151,151,1298.1,310,304,3,3,0,,.990
5 Seasons,WSH,NL,LF,300,298,2603.2,545,536,5,4,2,,.993
,2 Teams,,RF,301,301,2567.1,624,607,8,9,1,,.986
,WSH,NL,DH,8,8,0.0,0,0,0,0,0,,.000
