 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2018,,483,"2,030",-5,-6,23,12,24
2019,,729,"3,085",4,-21,34,23,40
2020,,184,827,5,6,9,6,25
2021,,631,"2,601",8,-3,36,17,57
2022,,710,"2,963",-7,-11,35,17,34
