Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2018,-6,,-3,0,-1,-4,1,-2,-1,-2,86,83,-3
2019,6,,0,2,2,3,1,3,-1,3,86,88,2
2020,-3,,0,-1,-1,-2,1,0,-1,0,83,80,-3
2021,4,,2,1,-1,2,1,1,0,2,89,90,1
2022,-16,,-1,-3,-6,-10,-1,-2,-3,-6,89,85,-4
