 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2018,23,59,39,-5,0.8,0.1,-0.5,0.4,33.9
2019,52,90,57.8,5,1.5,0.4,-0.5,1.3,34.1
2020,4,20,20,-3,0.8,0.3,0,0.9,33.8
2021,35,65,53.8,2,0.9,-0.1,-0.9,-0.2,33.2
2022,40,91,44,-10,0.5,-1,-0.1,-0.7,32.8
