PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
"Pivetta(L, 0-3)",4.0,7,5,5,4,4,1,10.03
"Valdez, P",2.0,1,0,0,0,1,0,0.00
"Barnes, M",1.0,1,1,1,0,1,0,6.75
Danish,2.0,0,0,0,1,5,0,0.00
,9.0,9,6,6,5,11,1,
