Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2015,21,26.8,4.62,1,45,9,333,50.8
2016,22,26.6,4.52,1,46,17,379,44.8
2017,23,26.9,4.48,,46,29,351,47.8
2018,24,25.9,4.56,,56,51,475,29.1
2019,25,26.9,4.5,,41,50,333,51.4
2020,26,27.0,4.51,,34,36,228,54.6
2021,27,26.5,4.6,,52,51,411,39.3
2022,28,26.1,4.67,,52,38,476,23.8
