Season,Team,Pos,PA,Depth (ft.),Angle
2016,LAD,6,5381,145,-15
2017,LAD,6,4678,144,-14
2018,LAD,6,915,145,-13
2019,LAD,6,4422,144,-16
2020,LAD,6,1526,146,-15
2021,LAD,6,3249,147,-13
2022,TEX,6,5369,147,-16
