BATTERS - CHC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Quiroz2B,4,0,0,0,0,0,1,.303,.681
"Suzuki, SRF",4,1,1,0,0,0,0,.266,.777
Wisdom3B,4,0,0,0,0,2,1,.211,.737
HappLF,3,2,2,0,1,0,0,.272,.786
"Reyes, FDH",3,1,1,0,1,0,1,.220,.630
HoernerSS,4,2,1,3,0,1,2,.284,.742
GomesC,4,0,2,1,0,0,1,.234,.621
Higgins1B,3,0,0,0,1,0,3,.231,.689
MorelCF,3,0,1,1,0,1,2,.238,.754
,32,6,8,5,3,4,11,,
