PITCHERS - CIN,IP,H,R,ER,BB,SO,HR,ERA
"Ashcraft(L, 5-5)",2.2,6,6,5,2,1,0,4.52
Overton,5.1,2,0,0,1,3,0,2.73
,8.0,8,6,5,3,4,0,
