BATTERS - ATL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Harris II, MCF",4,0,0,0,0,1,0,.286,.812
SwansonSS,2,1,1,0,2,0,0,.295,.828
Olson1B,3,1,1,2,1,0,2,.252,.838
Riley3B,4,0,0,0,0,0,2,.294,.945
"Rosario, ERF",4,0,2,0,0,1,0,.160,.436
"Contreras, WmC",4,0,0,0,0,2,2,.252,.850
OzunaLF,4,0,1,0,0,1,2,.223,.682
"Canó, R2B",4,0,0,0,0,2,2,.150,.373
FordDH,3,0,0,0,0,0,0,.150,.495
,32,2,5,2,3,7,10,,
