PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
"Morton(L, 5-5)",5.0,6,5,4,2,5,0,4.34
Matzek,1.1,2,2,2,0,0,0,3.86
Chavez,1.2,2,0,0,0,3,0,2.72
,8.0,10,7,6,2,8,0,
