BATTERS - TB,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Bruján2B,4,0,0,0,0,1,0,.161,.466
ArozarenaLF,4,0,0,0,0,1,0,.262,.771
FrancoSS,4,1,3,1,0,0,0,.278,.746
"Ramírez, H1B",4,1,0,0,0,1,2,.303,.753
MargotRF,4,1,1,2,0,1,1,.278,.711
BethancourtC,2,0,1,0,1,0,0,.253,.696
Paredes3B,3,0,0,0,0,1,2,.209,.749
"Mejía, FDH",3,0,0,0,0,0,0,.242,.645
SiriCF,3,0,0,0,0,3,0,.211,.606
,31,3,5,3,1,8,5,,
