PITCHERS - MIL,IP,H,R,ER,BB,SO,HR,ERA
"Houser(L, 6-10)",3.1,2,3,3,4,3,0,4.73
Suter,1.0,2,2,2,0,1,1,3.96
Gott,1.1,2,1,1,1,0,0,3.86
Milner,1.1,2,0,0,0,1,0,3.67
Rogers,1.1,1,0,0,0,2,0,4.88
Strzelecki,0.2,0,0,0,1,1,0,3.06
,9.0,9,6,6,6,8,1,
