PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
"Germán(L, 2-4)",5.1,3,2,2,3,6,0,3.31
Britton,0.0,0,0,0,1,0,0,13.50
Marinaccio,1.2,0,0,0,2,3,0,2.09
Chapman,1.0,1,0,0,0,0,0,4.11
Effross,1.0,1,0,0,1,2,0,2.59
,9.0,5,2,2,7,11,0,
