BATTERS - BAL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MullinsCF,3,1,0,0,2,2,3,.261,.728
RutschmanC,4,1,0,0,1,1,4,.251,.800
SantanderRF,3,0,0,0,1,2,2,.245,.784
Mountcastle1B,4,0,1,1,0,1,2,.248,.725
Henderson3B,3,0,1,0,1,0,0,.277,.845
Vavra2B,2,0,0,0,0,1,2,.263,.657
a-AguilarPH,1,0,0,0,0,1,2,.233,.656
Odor2B,1,0,1,0,0,0,0,.211,.641
HaysLF,3,0,1,0,1,0,0,.253,.726
StowersDH,3,0,0,0,1,3,4,.259,.730
MateoSS,4,0,1,0,0,0,1,.221,.648
,31,2,5,1,7,11,20,,
