BATTERS - WSH,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Thomas, LLF",4,0,1,1,0,2,1,.196,.516
"Soto, JRF",4,0,0,0,0,2,2,.259,.893
"Cruz, NDH",4,0,0,0,0,2,0,.177,.535
Bell1B,0,0,0,0,1,0,0,.345,.955
Fox3B,3,0,0,0,0,1,0,.000,.000
Franco3B-1B,4,0,2,0,0,0,0,.279,.734
Hernández2B,4,0,2,0,0,0,2,.233,.537
"Escobar, ASS",4,0,0,0,0,1,4,.143,.385
AdamsC,3,1,1,1,0,1,0,.143,.607
"a-Ruiz, KPH",1,0,0,0,0,0,1,.240,.535
RoblesCF,2,1,1,0,0,0,0,.150,.434
,33,2,7,2,1,9,10,,
