BATTERS - SF,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
YastrzemskiCF,2,0,1,0,0,0,0,.267,.696
a-SlaterPH-CF-RF,2,1,1,0,1,1,0,.192,.646
Belt1B,4,0,0,0,0,2,4,.220,.841
RufDH,3,1,0,1,1,0,2,.167,.501
PedersonLF,4,0,2,1,0,0,0,.317,.910
DubónCF,0,0,0,0,0,0,0,.158,.361
"Crawford, BraSS",4,0,1,1,0,0,2,.245,.656
Flores3B,4,1,2,0,0,0,0,.250,.698
Estrada2B,4,1,1,0,0,0,1,.255,.693
"Gonzalez, LRF-LF",3,0,1,1,0,0,0,.250,.450
CasaliC,4,1,1,1,0,2,2,.158,.411
,34,5,10,5,2,5,11,,
