PITCHERS - AZ,IP,H,R,ER,BB,SO,HR,ERA
"Kelly, M",7.0,4,0,0,2,7,0,2.81
"Mantiply(H, 15)",1.0,1,0,0,0,3,0,1.91
"Kennedy, I(L, 4-6)(BS, 4)",0.2,2,2,2,0,0,1,3.38
,8.2,7,2,2,2,10,1,
