Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2016,HOU,AL,137,50,57,0,1,.267,10,7,32,438,3.197,.088,.022,.417,.123,1,0
2017,HOU,AL,564,257,216,0,6,.308,62,12,91,1933,3.427,.110,.032,.355,.187,5,0
2018,HOU,AL,573,230,213,0,7,.306,47,22,110,1908,3.330,.110,.023,.365,.138,10,1
2019,HOU,AL,612,305,262,0,6,.289,73,12,101,2085,3.407,.106,.051,.569,.243,4,2
2020,HOU,AL,230,81,110,0,5,.235,19,6,47,789,3.430,.117,.026,.444,.152,2,0
2021,HOU,AL,605,245,202,0,12,.336,46,16,95,2292,3.788,.112,.025,.868,.143,0,1
2022,HOU,AL,584,196,259,0,3,.266,48,13,78,2116,3.623,.125,.014,.411,.117,3,0
7 Seasons,HOU,AL,3305,1364,1319,0,40,.294,305,88,554,11561,3.498,.112,.028,.508,.163,25,4
