BATTERS - BOS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Duran, JaRF",4,0,0,0,0,4,1,.252,.697
Devers3B,3,0,0,0,0,2,1,.324,.980
Wong2B,1,0,1,0,0,0,0,.250,.472
BogaertsSS,2,0,0,0,0,0,0,.316,.842
a-DalbecPH-3B,2,0,0,0,0,2,2,.205,.630
MartinezDH,2,0,0,0,0,2,0,.302,.849
b-RefsnyderPH-DH,2,0,1,0,0,1,0,.338,.934
VerdugoLF,4,0,1,0,0,1,2,.262,.678
VázquezC,2,0,0,0,0,0,0,.273,.732
PlaweckiC,1,0,0,0,0,0,1,.159,.503
Cordero1B,3,0,0,0,0,3,0,.225,.671
Bradley Jr.CF,3,1,1,0,0,0,0,.202,.544
Downs2B-SS,3,1,2,2,0,1,0,.200,.582
,32,2,6,2,0,16,7,,
