PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
"Stripling(W, 9-4)",5.0,6,1,1,0,3,0,3.16
"Pop(H, 3)",1.0,1,0,0,0,1,0,2.97
"Cimber(H, 18)",1.0,0,0,0,0,2,0,2.98
"Richards, T",1.0,0,0,0,0,2,0,5.64
Kikuchi,1.0,0,0,0,1,2,0,5.48
,9.0,7,1,1,1,10,0,
