PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
"McClanahan(L, 12-7)",5.0,6,4,4,2,2,3,2.51
Chargois,1.0,1,0,0,0,1,0,2.95
Armstrong,1.0,0,0,0,1,2,0,4.25
Cleavinger,0.2,1,2,2,1,2,1,4.74
Ogando,1.1,2,1,1,0,1,0,4.15
,9.0,10,7,7,4,8,4,
