PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Snell(W, 3-5)",6.0,4,1,1,1,7,1,4.43
Lamet,1.0,0,0,0,0,1,0,9.26
"Wilson, S",1.0,0,0,0,0,2,0,4.06
"Hill, T",1.0,1,0,0,0,1,0,3.72
,9.0,5,1,1,1,11,1,
