PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
Scherzer,7.0,2,0,0,1,10,0,1.80
"May(W, 1-0)",1.0,3,2,2,1,1,0,8.53
"Díaz(S, 2)",1.0,0,0,0,1,2,0,2.25
,9.0,5,2,2,3,13,0,
