PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
Williams,4.0,4,0,0,0,6,0,4.20
"Reed(W, 1-0)",2.0,0,0,0,2,2,0,0.00
"Lugo(H, 7)",1.0,0,0,0,0,1,0,3.86
"Smith, Dr(H, 9)",1.0,1,1,1,0,1,1,1.69
"Díaz(S, 9)",1.0,1,0,0,1,3,0,1.69
,9.0,6,1,1,3,13,1,
