PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
Smyly,5.1,4,2,2,0,4,0,3.67
"Uelmen(W, 1-1)(BS, 1)",0.2,1,0,0,0,0,0,3.38
"Brault(H, 1)",2.0,1,0,0,0,2,0,0.00
"Wick(S, 8)",1.0,0,0,0,0,0,0,4.14
,9.0,6,2,2,0,6,0,
