BATTERS - ATL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SwansonSS,5,0,1,0,0,3,0,.289,.787
Olson1B,4,2,2,0,0,0,1,.256,.841
Riley3B,4,1,3,1,0,0,1,.287,.911
d'ArnaudC,4,1,2,3,0,0,2,.265,.789
"Contreras, WmDH",3,1,1,0,1,2,2,.276,.883
Grissom2B,4,0,0,0,0,0,4,.344,.913
"Harris II, MCF",4,0,1,1,0,3,3,.288,.841
GrossmanLF-RF,4,0,0,0,0,1,2,.211,.613
HerediaRF,2,0,0,0,0,1,0,.130,.519
"a-Rosario, EPH-LF",2,0,0,0,0,1,0,.183,.544
,36,5,10,5,1,11,15,,
