BATTERS - COL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BlackmonDH,3,0,0,1,0,0,0,.266,.775
IglesiasSS,4,0,0,0,0,2,1,.309,.760
HampsonSS,0,0,0,0,0,0,0,.232,.662
Cron1B,4,0,2,0,0,2,0,.281,.847
HilliardLF,0,0,0,0,0,0,0,.171,.517
Rodgers2B,4,0,1,0,0,0,2,.282,.765
GrichukRF,4,0,0,0,0,3,1,.250,.698
"Díaz, EC",3,0,0,0,1,1,1,.228,.656
DazaCF,4,1,2,0,0,1,0,.300,.712
JoeLF-1B,3,0,0,0,0,1,3,.247,.714
"Montero, E3B",3,0,1,0,0,2,2,.200,.538
,32,1,6,1,1,12,10,,
