PITCHERS - COL,IP,H,R,ER,BB,SO,HR,ERA
"Kuhl(L, 6-7)",5.0,8,9,9,3,4,3,5.16
"Smith, C",2.0,0,0,0,1,3,0,11.81
Estévez,1.0,2,0,0,0,3,0,4.66
,8.0,10,9,9,4,10,3,
