PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
Elder,5.2,4,1,1,2,6,0,3.38
"Matzek(H, 8)",0.2,0,1,1,2,0,0,3.35
"Chavez(L, 4-2)(BS, 4)",0.2,1,1,1,0,0,1,3.55
"Lee, D",1.0,1,0,0,0,1,0,2.45
Stephens,1.0,0,0,0,0,0,0,3.64
,9.0,6,3,3,4,7,1,
