BATTERS - ATL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Acuña Jr.DH,5,1,2,1,0,1,2,.270,.772
SwansonSS,4,0,1,0,0,1,3,.280,.776
Riley3B,4,0,1,0,0,1,2,.276,.889
Olson1B,3,0,0,0,1,0,1,.234,.774
"Contreras, WmC",3,0,1,0,1,1,0,.276,.859
"Harris II, MCF",4,0,2,0,0,0,2,.308,.884
"Rosario, ELF",4,0,1,0,0,1,2,.207,.587
GrossmanRF,4,1,1,0,0,1,2,.212,.631
Grissom2B,3,0,1,0,1,1,1,.306,.836
,34,2,10,1,3,7,15,,
