PITCHERS - BAL,IP,H,R,ER,BB,SO,HR,ERA
"Lyles(W, 12-11)",7.0,4,1,1,1,9,1,4.42
"Bautista, F(H, 13)",1.0,0,0,0,1,2,0,2.19
"Hall, DL(S, 1)",1.0,0,0,0,0,2,0,6.39
,9.0,4,1,1,2,13,1,
