BATTERS - MIL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Wong, Ko2B",4,1,2,0,1,1,2,.243,.677
AdamesSS,4,0,0,0,0,1,4,.215,.780
a-BrosseauPH,1,1,1,2,0,0,0,.300,.900
YelichDH,5,2,4,3,0,0,0,.259,.838
Tellez1B,4,1,1,1,0,1,1,.245,.832
"Urías, L3B",5,1,1,1,0,2,3,.310,.996
RenfroeRF,5,2,2,2,0,1,1,.227,.756
NarváezC,4,0,2,1,1,1,0,.254,.770
CainCF,5,1,1,0,0,2,3,.189,.472
PetersonLF,4,2,1,1,1,1,2,.222,.684
,41,11,15,11,3,10,16,,
