PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
Clevinger,4.1,6,3,2,2,6,1,5.00
"Wilson, S(W, 3-0)",1.2,0,0,0,0,1,0,2.63
"Suarez, R(H, 3)",1.0,1,0,0,0,2,0,3.60
"García, L(H, 6)",1.0,1,0,0,0,2,0,1.86
"Rogers(S, 12)",1.0,2,1,1,0,1,0,0.71
,9.0,10,4,3,2,12,1,
