BATTERS - PIT,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
VogelbachDH,4,2,1,2,1,2,0,.316,.974
"Reynolds, BCF",4,0,1,0,1,2,2,.229,.684
Hayes3B,2,0,1,0,3,0,0,.333,.822
Tsutsugo1B,5,0,1,2,0,1,5,.195,.534
Chavis2B,4,0,0,0,0,0,2,.423,1.118
GamelLF,4,0,3,0,0,0,0,.243,.700
TuckerRF,4,0,0,0,0,2,3,.158,.369
MarisnickRF,0,0,0,0,0,0,0,.238,.559
PerezC,3,1,1,0,1,2,1,.200,.547
ParkSS,3,1,1,0,0,2,2,.214,.553
NewmanSS,1,0,0,0,0,1,2,.200,.606
,34,4,9,4,6,12,17,,
