PITCHERS - MIN,IP,H,R,ER,BB,SO,HR,ERA
"Sanchez, Aa(L, 3-4)",4.0,6,2,2,1,4,0,7.36
Sands,2.0,4,1,1,0,3,0,6.56
Megill,1.0,1,1,1,0,1,1,3.31
Pagán,1.0,1,0,0,0,1,0,5.13
,8.0,12,4,4,1,9,1,
