BATTERS - SF,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
La Stella3B,4,0,1,0,0,0,0,.267,.980
FloresDH,4,1,1,1,0,1,1,.266,.751
YastrzemskiCF,3,0,1,0,1,0,0,.296,.842
Ruf1B,4,0,0,0,0,1,3,.242,.716
PedersonLF,2,0,2,0,1,0,0,.239,.808
b-SlaterPH,1,0,1,0,0,0,0,.258,.800
"Crawford, BraSS",4,0,0,0,0,0,4,.216,.645
Estrada2B,4,0,0,0,0,1,3,.268,.681
"Gonzalez, LRF",3,0,0,0,1,1,2,.324,.843
PapierskiC,2,0,0,0,0,2,0,.000,.000
a-LongoriaPH,1,0,0,0,0,0,2,.143,.322
BartC,0,0,0,0,0,0,0,.169,.666
,32,1,6,1,3,6,15,,
