BATTERS - LAD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BettsRF,4,1,1,0,0,0,1,.262,.834
"Freeman, F1B",4,0,1,1,0,1,0,.312,.902
TurnerSS,4,0,1,0,0,0,1,.280,.743
"Smith, W.D.C",4,1,1,0,0,1,2,.253,.759
Muncy3B,4,1,1,0,0,1,2,.167,.638
"Turner, JDH",4,1,1,3,0,1,0,.203,.622
BellingerCF,3,1,2,0,0,0,0,.205,.693
"Taylor, ChLF",3,0,0,0,0,2,2,.248,.743
Lux2B,3,0,1,1,0,0,1,.260,.692
,33,5,9,5,0,6,9,,
