BATTERS - AZ,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
VarshoC,5,2,2,0,0,1,1,.252,.775
LuplowRF,4,0,1,0,1,1,3,.192,.763
"Smith, PDH",4,0,1,2,0,2,4,.228,.661
"Walker, C1B",4,0,0,0,0,0,6,.212,.772
"Rojas, J3B",3,1,1,0,1,2,2,.243,.599
PeraltaLF,4,0,1,0,0,1,1,.202,.679
PerdomoSS,4,0,1,1,0,0,2,.207,.606
"Thomas, ACF",4,0,1,0,0,1,2,.314,.904
Hager2B,2,0,1,0,1,0,0,.111,.384
"a-Hernandez, YPH",1,0,0,0,0,1,0,.118,.329
,35,3,9,3,3,9,21,,
