,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,558,492,68,118,12,52,5,.240,.321,.407,.728
8 Seasons,3303,2981,414,833,82,338,46,.279,.342,.448,.790
