 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2019,18,39,46.2,0,-0.1,0.1,-0.5,-0.6,32.8
2021,23,47,48.9,-4,-1,-1.5,-0.1,-2.6,31.1
