Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2016,L,308,10,3.2,.285,.212
2016,R,144,1,0.7,.228,.000
2017,L,179,1,0.6,.327,.000
2017,R,73,0,0.0,.303,
2018,L,366,1,0.3,.286,.000
2018,R,211,1,0.5,.410,.000
2019,L,448,95,21.2,.401,.438
2019,R,175,17,9.7,.408,.329
2020,L,141,44,31.2,.275,.222
2020,R,54,4,7.4,.484,.221
2021,L,259,114,44.0,.345,.339
2021,R,112,21,18.8,.446,.638
2022,L,406,261,64.3,.326,.295
2022,R,149,48,32.2,.352,.339
