Season,Team,Pos,PA,Depth (ft.),Angle
2016,SEA,6,4187,143,-13
2017,ARI,5,53,115,-35
2017,ARI,6,2113,144,-14
2018,ARI,4,4134,149,12
2018,ARI,6,935,143,-13
2019,ARI,4,1900,151,13
2019,ARI,6,260,145,-10
2019,ARI,8,2940,323,1
2020,ARI,8,85,318,0
2020,ARI,4,1464,149,11
2020,ARI,6,72,143,-10
2021,ARI,4,571,149,11
2021,ARI,8,2505,325,0
2022,AZ,4,3392,149,10
