BATTERS - NYM,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
NimmoCF,4,1,1,1,0,1,1,.294,.836
"Marte, SRF",4,0,0,1,0,0,1,.270,.713
LindorSS,4,1,2,1,0,0,0,.250,.780
AlonsoDH,4,0,0,0,0,2,1,.275,.840
McNeilLF,1,0,0,0,0,0,0,.321,.829
a-JankowskiPH-LF,3,0,0,0,0,2,1,.209,.501
Escobar3B,4,0,1,0,0,1,1,.229,.691
"Smith, Do1B",2,0,0,0,2,0,1,.198,.562
Guillorme2B,2,1,0,0,2,0,1,.324,.836
MazeikaC,4,0,1,0,0,1,4,.240,.720
,32,3,5,3,4,7,11,,
