PITCHERS - SF,IP,H,R,ER,BB,SO,HR,ERA
"Junis(W, 2-1)",6.0,3,2,2,1,4,1,2.76
Alvarez,1.0,1,1,1,2,2,0,4.76
Littell,1.0,0,0,0,0,0,0,5.94
Llovera,1.0,1,0,0,1,1,0,5.87
,9.0,5,3,3,4,7,1,
