BATTERS - SF,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
RufDH,4,0,0,0,0,4,1,.232,.691
Flores1B,4,2,2,1,0,1,0,.264,.746
YastrzemskiRF,3,2,1,2,1,0,0,.309,.909
Longoria3B,4,2,2,4,0,1,0,.225,.650
Estrada2B,3,1,1,0,1,1,0,.273,.694
PedersonLF,2,1,1,2,2,0,0,.260,.937
FairchildCF,4,0,0,0,0,2,3,.000,.000
BartC,3,0,0,0,1,1,2,.165,.634
WaltonSS,3,1,1,0,0,0,0,.286,.857
,30,9,8,9,5,10,6,,
