BATTERS - LAA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
WardRF,4,1,1,0,1,2,0,.344,1.129
OhtaniP-DH,5,0,1,0,0,2,2,.247,.785
TroutCF,3,0,0,0,1,3,1,.297,1.023
Duffy3B,3,0,2,0,1,0,0,.324,.740
Rengifo2B,4,0,1,1,0,1,3,.288,.771
StassiC,3,0,0,0,1,1,1,.233,.713
Walsh1B,4,0,1,0,0,1,3,.250,.768
LagaresLF,3,0,1,0,1,1,0,.267,.753
"Velazquez, ASS",4,0,0,0,0,0,4,.197,.525
,33,1,7,1,5,11,14,,
