PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
"Cortes(W, 5-1)",7.0,5,0,0,2,7,0,1.50
Schmidt,0.2,2,1,1,2,2,0,1.23
"Peralta, Wa(S, 1)",1.1,0,0,0,1,2,0,2.08
,9.0,7,1,1,5,11,0,
