PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
Verlander,4.0,10,6,6,1,3,1,13.50
"Abreu, B",1.2,1,0,0,0,3,0,0.00
Javier,1.1,1,1,1,0,2,1,6.75
"Brown, H",1.0,1,0,0,0,0,0,0.00
"Montero(W, 1-0)",1.0,0,0,0,0,0,0,0.00
,9.0,13,7,7,1,8,2,
