PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
Hill,4.0,4,0,0,3,1,0,4.85
"Valdez, P(L, 0-1)",0.1,0,3,3,1,0,0,3.24
"Brasier(BS, 2)",0.2,1,0,0,0,0,0,3.86
"Barnes, M",0.2,2,1,1,0,0,0,7.20
Diekman,0.2,2,1,1,0,0,1,1.93
Houck,1.2,0,0,0,0,2,0,2.87
,8.0,9,5,5,4,3,1,
