PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
"McClanahan(W, 1-1)",7.0,6,2,2,0,7,0,2.45
"Poche(H, 1)",1.0,0,0,0,1,1,0,0.00
"Thompson, R(S, 1)",1.0,0,0,0,0,1,0,0.00
,9.0,6,2,2,1,9,0,
