PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
Ray,6.0,3,1,1,2,6,1,3.51
"Brash(W, 2-3)",1.0,0,0,0,0,2,0,7.29
"Muñoz, A(H, 9)",1.0,0,0,0,0,2,0,3.21
"Castillo. D(S, 5)",1.0,2,0,0,1,0,0,4.22
,9.0,5,1,1,3,10,1,
