BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SchwarberLF,4,0,0,0,0,3,1,.185,.702
QuinnCF,0,0,0,0,0,0,0,.167,.398
Bohm3B,4,1,2,0,0,1,0,.311,.775
HarperDH,3,1,1,0,1,0,0,.269,.847
"Castellanos, NRF",4,0,0,0,0,1,3,.300,.875
Segura2B,2,1,1,0,2,1,1,.299,.838
Hoskins1B,4,1,2,4,0,2,2,.222,.753
"Herrera, OCF-LF",4,0,0,0,0,1,4,.262,.821
StottSS,4,0,0,0,0,3,1,.111,.282
StubbsC,3,0,1,0,0,1,0,.294,.804
,32,4,7,4,3,13,12,,
