Season,Team,Pos,PA,Depth (ft.),Angle
2021,SD,5,670,122,-31
2021,SD,6,1064,145,-13
2021,SD,4,604,153,11
2022,SD,5,716,123,-32
2022,SD,6,4545,146,-11
