PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
Kikuchi,5.0,9,2,2,1,4,0,3.48
Phelps,1.0,1,0,0,0,1,0,2.55
"Merryweather(BS, 1)",0.0,2,2,2,0,0,1,7.82
"Cimber(W, 5-2)",1.0,0,0,0,1,1,0,1.74
"Richards, T(H, 6)",1.0,0,0,0,0,2,0,3.92
"Romano(H, 1)",0.2,1,1,1,2,0,0,3.26
"Stripling(S, 1)",0.1,0,0,0,0,0,0,4.55
,9.0,13,5,5,4,8,1,
