PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
Lorenzen,6.2,5,3,3,2,2,0,3.19
Bradley,0.1,2,0,0,0,0,0,6.30
"Barraclough(L, 0-1)(H, 2)",0.1,0,2,2,2,0,0,3.38
"Loup(BS, 3)",0.2,2,1,1,1,2,0,4.82
Junk,1.0,1,0,0,0,1,0,0.00
,9.0,10,6,6,5,5,0,
