PITCHERS - MIA,IP,H,R,ER,BB,SO,HR,ERA
"Cabrera, E(W, 3-1)",5.2,3,0,0,2,6,0,2.05
"Okert(H, 14)",1.1,1,0,0,0,3,0,2.77
"Floro(H, 5)",0.2,1,0,0,1,1,0,3.77
"Scott, Tan(S, 16)",1.1,2,0,0,1,3,0,4.11
,9.0,7,0,0,4,13,0,
