BATTERS - CWS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Anderson, TiSS",5,0,1,0,0,2,4,.354,.881
Vaughn1B,5,0,1,0,0,1,5,.330,.875
PollockLF,4,0,0,0,0,1,2,.254,.677
"Abreu, JDH",4,0,2,0,0,1,1,.266,.798
Burger3B,4,0,1,0,0,0,3,.261,.790
SheetsRF,3,0,1,0,1,0,1,.207,.611
ZavalaC,4,0,2,0,0,2,3,.320,.893
"Garcia, LeCF",3,0,1,0,1,1,2,.192,.464
Harrison2B,1,0,0,0,0,1,1,.215,.611
"Sosa, L2B",1,0,0,0,1,1,1,.000,.500
,34,0,9,0,3,10,23,,
