PITCHERS - BAL,IP,H,R,ER,BB,SO,HR,ERA
"Kremer(W, 2-1)",5.2,7,0,0,1,4,0,1.71
"Bautista, F(H, 8)",1.1,0,0,0,1,3,0,1.52
"Tate(H, 10)",1.1,2,0,0,1,1,0,1.87
"López, Jo(S, 12)",0.2,0,0,0,0,2,0,0.77
,9.0,9,0,0,3,10,0,
