BATTERS - MIA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
WendleSS,5,2,2,0,0,0,2,.262,.661
Berti3B,5,0,2,1,0,1,1,.271,.736
"Anderson, BRF",4,0,1,1,0,1,2,.250,.716
BledayLF,3,0,0,0,1,1,2,.200,.687
FortesDH,2,1,0,0,1,0,2,.254,.786
Leblanc2B,4,0,0,0,0,2,4,.333,.829
"Díaz, L1B",1,0,1,0,1,0,0,.152,.432
a-AguilarPH-1B,2,0,0,0,0,2,3,.237,.682
StallingsC,4,0,1,1,0,0,1,.222,.574
BurdickCF,3,0,0,0,1,3,1,.175,.623
,33,3,7,3,4,10,18,,
